"","share_A01","share_A02","share_A03","share_A04","share_A05","share_A06","share_A07","share_A08","share_A09","share_A10","share_A11","share_A12","share_A13"
"share",0.167870569844924,0.0198135875740008,0.0101029966194184,0.0086552918752565,0.0747385748195396,0.0440673661711818,0.0393910681097477,0.0127384739244788,0.00218118327213854,0.0935032596303666,0.196097446047844,0.145903010025728,0.184937172085375
"Vol",150418295781.259,17753713941.3246,9052662031.11475,7755464549.67151,66968552402.3687,39486004754.5035,35295867164.4785,11414148056.7092,1954421617.11105,83782410321.148,175710630331.586,130734542318.524,165710608341.803
